OT,MT,DEP,SC,LAT,LON,SPOT
2023-08-26,2.1,9.0,3,35.98,128.14,경북 김천시 남쪽 18km 지역
2023-08-21,0.8,9.0,1,35.84,129.27,경북 경주시 동남동쪽 4km 지역
2023-08-21,0.9,19.0,1,34.95,127.61,전남 광양시 서쪽 8km 지역
2023-08-20,0.5,6.0,1,38.12,127.1,경기 연천군 북동쪽 3km 지역
2023-08-18,1.0,7.0,1,37.39,129.26,강원 삼척시 남동쪽 11km 해역
2023-08-17,1.3,14.0,1,34.84,124.96,전남 신안군 흑산도 서북서쪽 46km 해역
2023-08-17,1.0,6.0,1,36.68,127.81,충북 괴산군 남쪽 15km 지역
2023-08-17,1.3,5.0,1,36.67,127.81,충북 괴산군 남쪽 16km 지역
2023-08-17,1.5,13.0,1,35.75,129.19,경북 경주시 남남서쪽 12km 지역
2023-08-16,0.8,5.0,2,34.77,126.71,전남 영암군 남남동쪽 4km 지역
2023-08-15,1.0,8.0,1,37.93,124.67,인천 옹진군 백령도 남남서쪽 3km 지역
2023-08-14,1.1,15.0,1,36.63,128.15,경북 문경시 북서쪽 6km 지역
2023-08-13,1.2,11.0,1,36.53,127.53,충북 청주시 상당구 남남동쪽 12km 지역
2023-08-13,2.3,5.0,1,41.31,129.16,북한 함경북도 길주 북북서쪽 42km 지역
2023-08-13,1.0,15.0,1,36.18,127.3,충남 논산시 동쪽 18km 지역
2023-08-13,2.7,15.0,1,41.3,129.19,북한 함경북도 길주 북북서쪽 40km 지역
2023-08-13,2.3,19.0,1,41.29,129.19,북한 함경북도 길주 북북서쪽 39km 지역
2023-08-13,1.3,16.0,1,35.88,128.36,경북 성주군 동남동쪽 8km 지역
2023-08-12,1.4,9.0,1,36.3,127.16,충남 논산시 북북동쪽 14km 지역
2023-08-12,1.2,11.0,1,36.16,129.47,경북 포항시 북구 북동쪽 16km 해역
2023-08-11,1.6,12.0,2,36.05,127.62,전북 무주군 북서쪽 6km 지역
2023-08-11,1.3,19.0,1,34.6,127.28,전남 고흥군 남동쪽 1km 지역
2023-08-11,1.7,8.0,1,36.31,127.88,경북 상주시 서남서쪽 27km 지역
2023-08-08,1.1,8.0,1,37.93,124.67,인천 옹진군 백령도 남남서쪽 3km 지역
2023-08-08,1.5,8.0,1,37.93,124.67,인천 옹진군 백령도 남남서쪽 3km 지역
2023-08-08,1.8,13.0,3,37.86,128.86,강원 강릉시 북쪽 12km 해역
2023-08-07,1.1,8.0,1,36.77,129.04,경북 영양군 북북서쪽 13km 지역
2023-08-07,2.2,21.0,2,34.57,127.29,전남 고흥군 남남동쪽 4km 지역
2023-08-06,1.9,11.0,1,33.53,126.89,제주 제주시 동쪽 33km 해역
2023-08-05,1.9,10.0,1,34.15,125.06,전남 신안군 흑산도 남남서쪽 66km 해역
