ot,MT,dep,sc,lat,lon,spot
2023-01-07,2.4,14,1,34.52 N,124.90 E,전남 신안군 흑산도 서남서쪽 50km 해역
2023-01-05,2.4,24,1,33.38 N,127.23 E,제주 서귀포시 동북동쪽 64km 해역
2022-12-25,2.6,14,3,36.51 N,128.65 E,경북 안동시 남서쪽 10km 지역
2022-12-16,2.1,26,1,41.30 N,129.22 E,북한 함경북도 길주 북북서쪽 39km 지역
2022-12-03,2.9,21,1,35.77 N,129.80 E,울산 북구 동북동쪽 45km 해역
2022-12-01,3.2,14,3,36.17 N,128.27 E,경북 김천시 동북동쪽 14km 지역
2022-11-20,2,11,1,41.29 N,129.22 E,북한 함경북도 길주 북북서쪽 38km 지역
2022-11-20,3.3,20,2,33.96 N,125.22 E,전남 신안군 흑산도 남남서쪽 81km 해역
2022-11-18,2.2,6,1,35.52 N,124.35 E,전남 신안군 흑산도 북서쪽 136km 해역
2022-11-13,2.1,17,1,35.07 N,125.07 E,전남 신안군 흑산도 북서쪽 55km 해역
2022-11-08,2.1,8,1,33.30 N,127.78 E,전남 여수시 거문도 남남동쪽 92km 해역
2022-11-05,2.5,11,3,36.97 N,126.38 E,충남 서산시 북북서쪽 22km 해역
2022-11-03,2.1,10,1,35.47 N,124.90 E,전남 신안군 흑산도 북북서쪽 101km 해역
2022-11-01,2.9,14,5,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역
2022-10-29,2.9,11,4,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역
2022-10-29,2.2,13,4,36.88 N,127.87 E,충북 괴산군 북동쪽 10km 지역
2022-10-29,4.1,12,5,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역
2022-10-29,3.5,13,5,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역
2022-10-08,2.4,14,1,41.29 N,129.21 E,북한 함경북도 길주 북북서쪽 39km 지역
2022-10-08,2.5,23,1,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역
2022-10-01,2.7,14,3,36.94 N,127.13 E,충남 천안시 서북구 북북서쪽 7km 지역
2022-09-22,2.9,10,1,40.57 N,126.71 E,북한 자강도 용림 북북동쪽 7km 지역
2022-09-11,2.4,13,1,36.46 N,129.63 E,경북 영덕군 동북동쪽 24km 해역
